Meeting,Date,Member,Status,Check-in Method,Check-in Time
Meeting #4,2026-09-27 15:20,Stephen Kipngetich,absent,manual,
Meeting #4,2026-09-27 15:20,John Maritim,absent,manual,
Meeting #4,2026-09-27 15:20,Samuel Kiprop,absent,manual,
Meeting #4,2026-09-27 15:20,Esther Ochieng,absent,manual,
Meeting #4,2026-09-27 15:20,Lucy Kipngetich,absent,manual,
Meeting #4,2026-09-27 15:20,Joseph Cheruiyot,absent,manual,
Meeting #4,2026-09-27 15:20,Mary Kiplagat,absent,manual,
Meeting #4,2026-09-27 15:20,Catherine Wanjiru,absent,manual,
Meeting #4,2026-09-27 15:20,Joseph Kamau,absent,manual,
Meeting #4,2026-09-27 15:20,Grace Omondi,absent,manual,
Meeting #4,2026-09-27 15:20,Catherine Rotich,absent,manual,
Meeting #4,2026-09-27 15:20,Jane Mwangi,absent,manual,
Meeting #4,2026-09-27 15:20,James Kiptoo,absent,manual,
Meeting #4,2026-09-27 15:20,Alice Ndegwa,absent,manual,
Meeting #4,2026-09-27 15:20,Michael Okoth,absent,manual,
Meeting #4,2026-09-27 15:20,Joseph Rotich,absent,manual,
Meeting #4,2026-09-27 15:20,Mary Akinyi,absent,manual,
Meeting #4,2026-09-27 15:20,Esther Kiprop,absent,manual,
Meeting #4,2026-09-27 15:20,Samuel Akinyi,absent,manual,
Meeting #4,2026-09-27 15:20,Samuel Akinyi,absent,manual,
Meeting #4,2026-09-27 15:20,Margaret Omondi,absent,manual,
Meeting #4,2026-09-27 15:20,Paul Kamau,absent,manual,
Meeting #4,2026-09-27 15:20,Stephen Muthoni,absent,manual,
Meeting #4,2026-09-27 15:20,Lucy Kipchoge,absent,manual,
Meeting #4,2026-09-27 15:20,James Wanjiru,absent,manual,
Meeting #4,2026-09-27 15:20,Sarah Odhiambo,absent,manual,
Meeting #4,2026-09-27 15:20,Michael Omondi,absent,manual,
Meeting #4,2026-09-27 15:20,Jane Kiprop,absent,manual,
Meeting #4,2026-09-27 15:20,Rose Kipchoge,absent,manual,
Meeting #4,2026-09-27 15:20,David Kiprop,absent,manual,
Meeting #4,2026-09-27 15:20,Mary Kipngetich,absent,manual,
Meeting #4,2026-09-27 15:20,Grace Ndegwa,absent,manual,
Meeting #4,2026-09-27 15:20,John Kiplagat,absent,manual,
Meeting #4,2026-09-27 15:20,Stephen Mwangi,absent,manual,
Meeting #4,2026-09-27 15:20,John Ochieng,absent,manual,
Meeting #4,2026-09-27 15:20,Mary Kiprop,absent,manual,
Meeting #4,2026-09-27 15:20,Alice Ochieng,absent,manual,
Meeting #4,2026-09-27 15:20,James Kipchoge,absent,manual,
Meeting #4,2026-09-27 15:20,Peter Kiplagat,absent,manual,
Meeting #4,2026-09-27 15:20,Joseph Omondi,absent,manual,
Meeting #4,2026-09-27 15:20,Catherine Odhiambo,absent,manual,
Meeting #4,2026-09-27 15:20,Joseph Kamau,absent,manual,
Meeting #4,2026-09-27 15:20,Catherine Kosgei,absent,manual,
Meeting #4,2026-09-27 15:20,Esther Wanjiru,absent,manual,
Meeting #4,2026-09-27 15:20,Lucy Kipchoge,absent,manual,
Meeting #4,2026-09-27 15:20,David Wanjiru,absent,manual,
Meeting #4,2026-09-27 15:20,Rose Cheruiyot,absent,manual,
Meeting #4,2026-09-27 15:20,Stephen Chebet,absent,manual,
Meeting #4,2026-09-27 15:20,David Mwangi,absent,manual,
Meeting #4,2026-09-27 15:20,Peter Kiplagat,absent,manual,
Meeting #4,2026-09-27 15:20,Mary Kiptoo,absent,manual,
Meeting #4,2026-09-27 15:20,Mary Kipngetich,absent,manual,
Meeting #4,2026-09-27 15:20,James Maritim,absent,manual,
Meeting #4,2026-09-27 15:20,Margaret Okoth,absent,manual,
Meeting #4,2026-09-27 15:20,Elias Kiplagat,absent,manual,
Meeting #4,2026-09-27 15:20,Samuel Omondi,absent,manual,
Meeting #4,2026-09-27 15:20,James Okoth,absent,manual,
Meeting #4,2026-09-27 15:20,Sarah Kiptoo,absent,manual,
Meeting #4,2026-09-27 15:20,Lucy Kiprop,absent,manual,
Meeting #4,2026-09-27 15:20,Rose Rotich,absent,manual,
