Member ID,Name,Status,Score,Payment Score,Attendance Score,Warnings
LCG-0061,Samuel Muthoni,green,100.00,100.00,100.00,0
LCG-0062,James Kosgei,green,100.00,100.00,100.00,0
LCG-0063,Rose Kiplagat,green,100.00,100.00,100.00,0
LCG-0064,Samuel Omondi,green,100.00,100.00,100.00,0
LCG-0065,James Kiplagat,green,100.00,100.00,100.00,0
LCG-0066,Paul Mwangi,green,100.00,100.00,100.00,0
LCG-0067,Samuel Wanjiru,green,100.00,100.00,100.00,0
LCG-0068,Esther Wanjiru,green,100.00,100.00,100.00,0
LCG-0041,Catherine Odhiambo,red,50.00,100.00,0.00,0
LCG-0042,Joseph Kamau,red,50.00,100.00,0.00,0
LCG-0043,Catherine Kosgei,red,50.00,100.00,0.00,0
LCG-0044,Esther Wanjiru,red,50.00,100.00,0.00,0
LCG-0046,David Wanjiru,red,50.00,100.00,0.00,0
LCG-0048,Stephen Chebet,red,50.00,100.00,0.00,0
LCG-0049,David Mwangi,red,50.00,100.00,0.00,0
LCG-0053,James Maritim,red,50.00,100.00,0.00,0
LCG-0054,Margaret Okoth,red,50.00,100.00,0.00,0
LCG-0055,Elias Kiplagat,red,50.00,100.00,0.00,0
LCG-0056,Samuel Omondi,red,50.00,100.00,0.00,0
LCG-0057,James Okoth,red,50.00,100.00,0.00,0
LCG-0058,Sarah Kiptoo,red,50.00,100.00,0.00,0
LCG-0060,Rose Rotich,red,50.00,100.00,0.00,0
LCG-0020,Samuel Akinyi,red,50.00,100.00,0.00,0
LCG-0050,Peter Kiplagat,red,37.50,75.00,0.00,0
LCG-0051,Mary Kiptoo,red,37.50,75.00,0.00,0
LCG-0052,Mary Kipngetich,red,37.50,75.00,0.00,0
LCG-0040,Joseph Omondi,red,33.33,66.67,0.00,0
LCG-0047,Rose Cheruiyot,red,33.33,66.67,0.00,0
LCG-0059,Lucy Kiprop,red,33.33,66.67,0.00,0
LCG-0021,Margaret Omondi,red,25.00,50.00,0.00,0
LCG-0022,Paul Kamau,red,25.00,50.00,0.00,0
LCG-0023,Stephen Muthoni,red,25.00,50.00,0.00,0
LCG-0024,Lucy Kipchoge,red,25.00,50.00,0.00,0
LCG-0025,James Wanjiru,red,25.00,50.00,0.00,0
LCG-0026,Sarah Odhiambo,red,25.00,50.00,0.00,0
LCG-0027,Michael Omondi,red,25.00,50.00,0.00,0
LCG-0028,Jane Kiprop,red,25.00,50.00,0.00,0
LCG-0029,Rose Kipchoge,red,25.00,50.00,0.00,0
LCG-0030,David Kiprop,red,25.00,50.00,0.00,0
LCG-0031,Mary Kipngetich,red,25.00,50.00,0.00,0
LCG-0032,Grace Ndegwa,red,25.00,50.00,0.00,0
LCG-0033,John Kiplagat,red,25.00,50.00,0.00,0
LCG-0034,Stephen Mwangi,red,25.00,50.00,0.00,0
LCG-0035,John Ochieng,red,25.00,50.00,0.00,0
LCG-0036,Mary Kiprop,red,25.00,50.00,0.00,0
LCG-0037,Alice Ochieng,red,25.00,50.00,0.00,0
LCG-0038,James Kipchoge,red,25.00,50.00,0.00,0
LCG-0039,Peter Kiplagat,red,25.00,50.00,0.00,0
LCG-0019,Samuel Akinyi,red,25.00,50.00,0.00,0
LCG-0018,Esther Kiprop,red,25.00,50.00,0.00,0
LCG-0017,Mary Akinyi,red,25.00,50.00,0.00,0
LCG-0016,Joseph Rotich,red,25.00,50.00,0.00,0
LCG-0015,Michael Okoth,red,25.00,50.00,0.00,0
LCG-0014,Alice Ndegwa,red,25.00,50.00,0.00,0
LCG-0013,James Kiptoo,red,25.00,50.00,0.00,0
LCG-0012,Jane Mwangi,red,25.00,50.00,0.00,0
LCG-0011,Catherine Rotich,red,25.00,50.00,0.00,0
LCG-0010,Grace Omondi,red,25.00,50.00,0.00,0
LCG-0009,Joseph Kamau,red,25.00,50.00,0.00,0
LCG-0008,Catherine Wanjiru,red,25.00,50.00,0.00,0
LCG-0007,Mary Kiplagat,red,25.00,50.00,0.00,0
LCG-0006,Joseph Cheruiyot,red,25.00,50.00,0.00,0
LCG-0005,Lucy Kipngetich,red,25.00,50.00,0.00,0
LCG-0004,Esther Ochieng,red,25.00,50.00,0.00,0
LCG-0003,Samuel Kiprop,red,25.00,50.00,0.00,0
LCG-0002,John Maritim,red,25.00,50.00,0.00,0
LCG-0001,Stephen Kipngetich,red,25.00,50.00,0.00,0
LCG-0045,Lucy Kipchoge,red,16.67,33.33,0.00,0
