Member ID,Name,Phone,Status,Compliance,Joined
LCG-0068,Esther Wanjiru,254783510637,active,green,2026-07-31
LCG-0067,Samuel Wanjiru,254775447125,active,green,2026-07-31
LCG-0066,Paul Mwangi,254798824572,active,green,2026-07-31
LCG-0065,James Kiplagat,254780055954,active,green,2026-07-31
LCG-0064,Samuel Omondi,254748408087,active,green,2026-07-31
LCG-0063,Rose Kiplagat,0773882091,active,green,2026-07-31
LCG-0062,James Kosgei,0797231577,active,green,2026-07-31
LCG-0061,Samuel Muthoni,0771000657,active,green,2026-07-31
LCG-0060,Rose Rotich,0133025112,active,green,2026-07-29
LCG-0059,Lucy Kiprop,0745068165,active,green,2026-07-29
LCG-0058,Sarah Kiptoo,0797371968,active,green,2026-07-29
LCG-0057,James Okoth,0749532045,active,green,2026-07-29
LCG-0056,Samuel Omondi,0784643222,active,green,2026-07-29
LCG-0055,Elias Kiplagat,0101636343,active,green,2026-07-29
LCG-0054,Margaret Okoth,0123600078,active,green,2026-07-29
LCG-0053,James Maritim,0151921782,active,green,2026-07-29
LCG-0052,Mary Kipngetich,0741700419,active,green,2026-07-29
LCG-0051,Mary Kiptoo,254130664562,active,green,2026-07-29
LCG-0050,Peter Kiplagat,254154585182,active,green,2026-07-29
LCG-0049,David Mwangi,0710650097,active,green,2026-07-29
LCG-0048,Stephen Chebet,254737849025,active,green,2026-07-29
LCG-0047,Rose Cheruiyot,254761625899,active,green,2026-07-29
LCG-0046,David Wanjiru,0764221632,active,green,2026-07-29
LCG-0045,Lucy Kipchoge,254706609726,active,green,2026-07-29
LCG-0044,Esther Wanjiru,254116540074,active,green,2026-07-29
LCG-0043,Catherine Kosgei,0183777017,active,green,2026-07-29
LCG-0042,Joseph Kamau,254148445691,active,green,2026-07-29
LCG-0041,Catherine Odhiambo,254198192936,active,green,2026-07-29
LCG-0040,Joseph Omondi,0740954520,active,green,2026-07-29
LCG-0039,Peter Kiplagat,254716696344,active,green,2026-07-29
LCG-0038,James Kipchoge,0128689682,active,green,2026-07-29
LCG-0037,Alice Ochieng,0155705015,active,green,2026-07-29
LCG-0036,Mary Kiprop,254777533029,active,green,2026-07-29
LCG-0035,John Ochieng,254728481057,active,green,2026-07-29
LCG-0034,Stephen Mwangi,254705070982,active,green,2026-07-29
LCG-0033,John Kiplagat,254764486782,active,green,2026-07-29
LCG-0032,Grace Ndegwa,0794819541,active,green,2026-07-29
LCG-0031,Mary Kipngetich,0728360433,active,green,2026-07-29
LCG-0030,David Kiprop,254718034315,active,green,2026-07-29
LCG-0029,Rose Kipchoge,254169529881,active,green,2026-07-29
LCG-0028,Jane Kiprop,254793928904,active,green,2026-07-29
LCG-0027,Michael Omondi,0139279443,active,green,2026-07-29
LCG-0026,Sarah Odhiambo,0140731329,active,green,2026-07-29
LCG-0025,James Wanjiru,0737365684,active,green,2026-07-29
LCG-0024,Lucy Kipchoge,0156736261,active,green,2026-07-29
LCG-0023,Stephen Muthoni,0724004578,active,green,2026-07-29
LCG-0022,Paul Kamau,254761619691,active,green,2026-07-29
LCG-0021,Margaret Omondi,0713260803,active,green,2026-07-29
LCG-0020,Samuel Akinyi,254119783926,active,green,2026-07-29
LCG-0019,Samuel Akinyi,254191907018,active,green,2026-07-29
LCG-0018,Esther Kiprop,0756534815,active,green,2026-07-29
LCG-0017,Mary Akinyi,254139518877,active,green,2026-07-29
LCG-0016,Joseph Rotich,254136837727,active,green,2026-07-29
LCG-0015,Michael Okoth,0795686887,active,green,2026-07-29
LCG-0014,Alice Ndegwa,254760326515,active,green,2026-07-29
LCG-0013,James Kiptoo,254710311741,active,green,2026-07-29
LCG-0012,Jane Mwangi,254148867513,active,green,2026-07-29
LCG-0011,Catherine Rotich,0793289828,active,green,2026-07-29
LCG-0010,Grace Omondi,254115916883,active,green,2026-07-29
LCG-0009,Joseph Kamau,0145390679,active,green,2026-07-29
LCG-0008,Catherine Wanjiru,0199642232,active,green,2026-07-29
LCG-0007,Mary Kiplagat,254114232871,active,green,2026-07-29
LCG-0006,Joseph Cheruiyot,0175871551,active,green,2026-07-29
LCG-0005,Lucy Kipngetich,254117604909,active,green,2026-07-29
LCG-0004,Esther Ochieng,254722864894,active,green,2026-07-29
LCG-0003,Samuel Kiprop,0102898281,active,green,2026-07-29
LCG-0002,John Maritim,0712962671,active,green,2026-07-29
LCG-0001,Stephen Kipngetich,254151286586,active,green,2026-07-29
