Payment ID,Member,Category,Amount,Method,Date
72,Catherine Odhiambo,Emergency Fund,200.00,M-Pesa,2026-07-29 15:20
70,Catherine Odhiambo,Yearly Subscription,1500.00,M-Pesa,2026-07-29 15:20
69,Catherine Odhiambo,Emergency Fund,600.00,Airtel Money,2026-07-29 15:20
68,Joseph Kamau,Development Fund,300.00,Airtel Money,2026-07-29 15:20
67,Joseph Kamau,Bereavement Fund,450.00,Cash,2026-07-29 15:20
66,Catherine Kosgei,Bereavement Fund,300.00,Airtel Money,2026-07-29 15:20
65,Catherine Kosgei,Constitution Fee,100.00,M-Pesa,2026-07-29 15:20
64,Esther Wanjiru,Registration Fee,150.00,Cash,2026-07-29 15:20
63,Esther Wanjiru,Other Collections,100.00,M-Pesa,2026-07-29 15:20
60,Lucy Kipchoge,Constitution Fee,200.00,Cash,2026-07-29 15:20
58,David Wanjiru,Bereavement Fund,150.00,M-Pesa,2026-07-29 15:20
57,David Wanjiru,Bereavement Fund,150.00,M-Pesa,2026-07-29 15:20
56,David Wanjiru,Registration Fee,50.00,M-Pesa,2026-07-29 15:20
55,David Wanjiru,Registration Fee,50.00,Cash,2026-07-29 15:20
54,David Wanjiru,Yearly Subscription,500.00,Cash,2026-07-29 15:20
53,Rose Cheruiyot,Bereavement Fund,450.00,Airtel Money,2026-07-29 15:20
50,Rose Cheruiyot,Constitution Fee,100.00,M-Pesa,2026-07-29 15:20
49,Stephen Chebet,Emergency Fund,600.00,M-Pesa,2026-07-29 15:20
48,Stephen Chebet,Development Fund,600.00,M-Pesa,2026-07-29 15:20
46,David Mwangi,Registration Fee,150.00,Airtel Money,2026-07-29 15:20
45,David Mwangi,Bereavement Fund,150.00,M-Pesa,2026-07-29 15:20
44,Peter Kiplagat,Registration Fee,100.00,M-Pesa,2026-07-29 15:20
43,Peter Kiplagat,Bereavement Fund,300.00,Airtel Money,2026-07-29 15:20
41,Peter Kiplagat,Development Fund,600.00,M-Pesa,2026-07-29 15:20
39,Mary Kiptoo,Bereavement Fund,300.00,Airtel Money,2026-07-29 15:20
38,Mary Kiptoo,Emergency Fund,400.00,Airtel Money,2026-07-29 15:20
36,Mary Kiptoo,Registration Fee,100.00,M-Pesa,2026-07-29 15:20
35,Mary Kiptoo,Bereavement Fund,150.00,M-Pesa,2026-07-29 15:20
33,Mary Kipngetich,Other Collections,100.00,M-Pesa,2026-07-29 15:20
32,Mary Kipngetich,Bereavement Fund,150.00,Airtel Money,2026-07-29 15:20
31,Mary Kipngetich,Development Fund,300.00,Cash,2026-07-29 15:20
29,James Maritim,Registration Fee,50.00,Cash,2026-07-29 15:20
28,James Maritim,Constitution Fee,100.00,Airtel Money,2026-07-29 15:20
27,Margaret Okoth,Development Fund,300.00,M-Pesa,2026-07-29 15:20
26,Margaret Okoth,Bereavement Fund,450.00,Airtel Money,2026-07-29 15:20
25,Elias Kiplagat,Registration Fee,150.00,M-Pesa,2026-07-29 15:20
24,Elias Kiplagat,Registration Fee,150.00,Cash,2026-07-29 15:20
23,Elias Kiplagat,Registration Fee,100.00,M-Pesa,2026-07-29 15:20
22,Elias Kiplagat,Registration Fee,50.00,M-Pesa,2026-07-29 15:20
21,Elias Kiplagat,Bereavement Fund,150.00,Cash,2026-07-29 15:20
20,Samuel Omondi,Bereavement Fund,450.00,Airtel Money,2026-07-29 15:20
19,Samuel Omondi,Other Collections,100.00,Airtel Money,2026-07-29 15:20
18,James Okoth,Development Fund,300.00,Cash,2026-07-29 15:20
17,James Okoth,Other Collections,100.00,Airtel Money,2026-07-29 15:20
16,James Okoth,Constitution Fee,200.00,Airtel Money,2026-07-29 15:20
15,James Okoth,Constitution Fee,100.00,Airtel Money,2026-07-29 15:20
14,Sarah Kiptoo,Bereavement Fund,450.00,Airtel Money,2026-07-29 15:20
12,Sarah Kiptoo,Emergency Fund,400.00,Airtel Money,2026-07-29 15:20
11,Lucy Kiprop,Yearly Subscription,1500.00,Airtel Money,2026-07-29 15:20
10,Lucy Kiprop,Other Collections,100.00,M-Pesa,2026-07-29 15:20
7,Rose Rotich,Constitution Fee,300.00,M-Pesa,2026-07-29 15:20
6,Rose Rotich,Emergency Fund,400.00,Cash,2026-07-29 15:20
5,Rose Rotich,Bereavement Fund,300.00,M-Pesa,2026-07-29 15:20
3,Joseph Omondi,Yearly Subscription,1000.00,Cash,2026-07-29 15:18
2,Joseph Omondi,Development Fund,300.00,Cash,2026-07-29 15:18
1,Samuel Akinyi,Bereavement Fund,300.00,Airtel Money,2026-07-29 15:17
